feature,importance
accelMag_peak_position,0.14198552522096258
filteredMag_skew,0.1224924249112141
filteredZ_max,0.0600761891078099
filteredZ_median,0.051135103000115284
accelZ_skew,0.045307858298518314
filteredZ_kurtosis,0.03599250647242995
filteredZ_min,0.0332302078423996
accelZ_diff_mean,0.0324055258385339
filteredMag_peak_position,0.03218014261891842
accelZ_range,0.025815971849751405
accelZ_jerk_std,0.025415822067569302
accelZ_min,0.02527400519348192
filteredZ_diff_mean,0.024985090019885886
filteredZ_range,0.02294782793415903
rep_duration_ms,0.022733959850188123
accelMag_max,0.021491291987355114
accelZ_jerk_mean,0.02059422941291071
accelX_p25,0.01884342717234046
filteredZ_iqr,0.0164058042696201
filteredZ_p75,0.014713083971818409
accelX_p75,0.013811636028640738
accelZ_p25,0.01221349340504999
gyroY_iqr,0.011522255630426168
filteredZ_jerk_mean,0.010118566500999808
gyroX_min,0.01003834800944487
ldlj,0.009364448202540973
accelZ_kurtosis,0.008962331752945023
avg_sample_rate,0.007895549251742233
accelZ_median,0.007730461430840805
gyroX_iqr,0.00741043665829515
accelX_energy,0.0068482199786675454
filteredZ_p25,0.006573397451609132
accelZ_p75,0.006492033750233843
accelZ_iqr,0.006132472564647635
filteredY_energy,0.006015109745801792
accelZ_rms,0.005245576906894815
gyroY_min,0.0051705510041155376
accelY_p25,0.0047823704896859534
gyroY_p25,0.004773799096005835
gyroX_p25,0.004308636490887865
accelY_min,0.004285013307033799
accelY_range,0.004084270990488042
accelY_energy,0.003671696143769009
filteredZ_mean,0.00358487565894403
accelY_max,0.003553534477424022
gyroZ_energy,0.003201421351702409
gyroX_p75,0.003116905236778399
accelX_max,0.0030054036226817753
accelX_jerk_rms,0.0029937036415227424
gyroY_p75,0.0027400328568166887
gyroZ_peak_position,0.0027327071765471883
accelX_min,0.0024832158785741635
gyroX_peak_position,0.002320251214872557
gyroZ_p75,0.0018899411102820823
accelX_peak_position,0.0017826449554104176
accelY_diff_mean,0.001713637588231113
accelY_iqr,0.0012280829198296312
gyroX_diff_mean,0.0010868386500768913
filteredY_diff_mean,0.0005533417389232672
gyroZ_skew,0.0005367900906335886
