feature,importance
accelZ_energy,0.087171584
avg_sample_rate,0.0854923
filteredMag_iqr,0.057857696
filteredZ_rms,0.049097516
gyroY_jerk_rms,0.047479875
accelZ_p25,0.040346563
filteredY_iqr,0.03579839
filteredMag_range,0.03314747
accelMag_min,0.027834224
accelY_energy,0.02342067
gyroZ_diff_std,0.018715201
accelMag_range,0.018013218
filteredY_range,0.016871324
gyroY_range,0.01654707
rep_duration_ms,0.016386433
filteredX_range,0.01587625
accelMag_jerk_max,0.015219377
filteredZ_range,0.014829515
accelMag_p75,0.014616432
filteredY_skew,0.014600122
accelY_skew,0.014553834
accelY_std,0.0144659225
accelX_smoothness,0.014372152
filteredMag_skew,0.013999523
filteredMag_jerk_mean,0.013929244
accelY_max,0.013108182
accelMag_skew,0.012449255
accelX_p25,0.012319017
accelZ_iqr,0.011625365
accelMag_rms,0.011431302
filteredMag_min,0.011357538
accelY_min,0.011216425
filteredY_kurtosis,0.01109012
gyroY_kurtosis,0.011065633
accelMag_max,0.010500525
gyroX_energy,0.009954345
filteredY_jerk_mean,0.009466828
gyroX_iqr,0.009331062
filteredMag_p75,0.0093031395
gyroY_energy,0.008896539
accelY_p75,0.008829557
gyroY_p25,0.008457568
gyroX_max,0.0073838006
filteredMag_rms,0.0073312665
filteredMag_max,0.0072639426
accelX_diff_std,0.0070946575
accelY_kurtosis,0.0063723875
accelY_diff_max,0.006034106
accelZ_peak_value,0.0059966054
accelMag_diff_std,0.0058940137
filteredMag_kurtosis,0.0058774846
gyroZ_energy,0.005804515
accelZ_range,0.005526297
gyroY_p75,0.00521578
accelMag_median,0.0051299874
filteredMag_p25,0.0045248284
filteredMag_median,0.0041389065
accelX_peak_position,0.0035710845
gyroY_iqr,0.00345056
gyroZ_max,0.002345345
