feature,importance
gyroX_energy,0.0948394
accelZ_energy,0.055282965
gyroY_diff_std,0.05129613
ldlj,0.050101914
gyroX_peak_value,0.03159611
gyroX_iqr,0.02804813
filteredMag_range,0.027334807
filteredZ_range,0.027293859
accelZ_range,0.025815213
accelZ_rms,0.023898218
gyroX_jerk_max,0.023581954
gyroX_rms,0.023091663
accelZ_p25,0.019801809
gyroY_energy,0.019761799
accelX_range,0.01969473
filteredMag_iqr,0.01935015
gyroZ_max,0.018527871
filteredMag_p25,0.01816003
accelX_diff_std,0.017772093
accelZ_p75,0.016800068
filteredX_range,0.016320398
gyroY_peak_value,0.015748458
accelY_std,0.015659746
accelX_iqr,0.015250451
rep_duration_ms,0.014357497
accelMag_std,0.014194714
filteredMag_min,0.013271259
gyroZ_diff_std,0.012763838
accelMag_peak_position,0.012692342
filteredMag_max,0.012640426
accelMag_max,0.011643685
accelZ_iqr,0.011406263
accelX_jerk_max,0.0112412
avg_sample_rate,0.011087099
filteredX_jerk_max,0.010712325
accelMag_range,0.01070236
filteredY_rms,0.010477025
accelX_energy,0.010381475
filteredY_range,0.0094561605
filteredMag_peak_position,0.0094469385
accelY_jerk_mean,0.009222083
gyroZ_kurtosis,0.009197805
filteredMag_jerk_mean,0.008523499
accelX_p75,0.0081471065
gyroZ_energy,0.007985461
accelMag_p75,0.007598096
accelZ_diff_std,0.0075354544
filteredY_jerk_mean,0.007323147
accelZ_min,0.0070914757
accelMag_min,0.007004953
gyroZ_rms,0.0069763786
gyroY_iqr,0.0068506747
filteredY_skew,0.0067816926
accelY_range,0.0064598145
accelMag_jerk_mean,0.006329577
gyroX_diff_std,0.0062973634
filteredMag_skew,0.005662185
filteredMag_median,0.0045782304
accelZ_jerk_max,0.0044913352
accelY_energy,0.0044410015
