feature,importance
gyroX_diff_std,0.10251724
filteredMag_diff_std,0.09932051
gyroY_energy,0.05953154
accelMag_range,0.056309428
filteredZ_jerk_rms,0.03430836
gyroY_rms,0.03325523
filteredY_jerk_rms,0.0291225
filteredMag_peak_position,0.028355775
accelZ_diff_std,0.028063724
filteredY_diff_max,0.02631753
accelZ_range,0.01880405
filteredMag_max,0.018593123
filteredY_peak_position,0.018447043
accelMag_rms,0.016375069
accelZ_jerk_max,0.01633476
accelMag_diff_std,0.015678016
accelY_rms,0.01547314
rep_duration_ms,0.014947263
accelZ_max,0.014903731
accelX_smoothness,0.014568954
avg_sample_rate,0.013675857
gyroX_min,0.012767518
gyroX_median,0.01257909
gyroX_range,0.012407733
accelY_max,0.011952787
accelMag_kurtosis,0.011600848
accelX_rms,0.0114167165
accelY_p75,0.011115167
accelY_median,0.010887974
filteredZ_range,0.010404823
filteredY_jerk_mean,0.010365704
gyroY_diff_std,0.010191542
gyroZ_p75,0.009933506
gyroZ_iqr,0.009888432
gyroZ_kurtosis,0.009832709
gyroX_max,0.009362245
filteredMag_energy,0.009331788
gyroZ_diff_std,0.009253672
filteredMag_range,0.008946453
accelMag_peak_position,0.008498614
accelY_diff_std,0.008199942
accelZ_energy,0.008199736
gyroY_iqr,0.008103603
gyroZ_rms,0.0077324826
gyroZ_min,0.007729909
gyroX_peak_position,0.0076676933
filteredMag_jerk_mean,0.007363933
accelY_peak_position,0.007353559
gyroX_energy,0.0068967175
gyroY_max,0.00671903
gyroY_mean,0.006157922
gyroZ_range,0.0059777433
accelY_range,0.00589634
accelZ_p75,0.005533938
gyroX_rms,0.004978152
gyroZ_jerk_max,0.0048545366
gyroY_p75,0.004557922
accelX_energy,0.0043156883
accelX_diff_std,0.0037294936
gyroY_min,0.002391636
