feature,importance
accelMag_peak_position,0.1627567
filteredMag_skew,0.08422094
accelZ_diff_std,0.07698095
accelMag_max,0.042132117
accelZ_diff_mean,0.03141091
accelX_p75,0.026524192
rep_duration_ms,0.023962904
filteredZ_kurtosis,0.023926867
filteredZ_min,0.022968814
accelX_p25,0.019129409
filteredZ_iqr,0.018931447
filteredZ_range,0.017318431
gyroX_p25,0.016668577
accelZ_jerk_mean,0.016106492
accelZ_skew,0.014168762
gyroZ_iqr,0.014136693
filteredZ_jerk_mean,0.013265933
accelZ_iqr,0.013212294
filteredZ_p25,0.012952779
filteredY_energy,0.012758069
accelZ_p75,0.012054515
gyroY_jerk_rms,0.011726488
ldlj,0.011644421
gyroX_iqr,0.011478408
filteredZ_diff_mean,0.011443467
filteredZ_mean,0.011379464
accelZ_kurtosis,0.011297814
accelZ_rms,0.010661853
accelX_max,0.010555872
accelZ_range,0.010514995
avg_sample_rate,0.010441262
accelY_p25,0.010403765
accelY_energy,0.009711554
accelY_range,0.009587199
gyroX_min,0.009403917
gyroZ_energy,0.009334288
gyroX_p75,0.009161742
gyroZ_median,0.009135359
accelZ_min,0.0089722825
accelY_iqr,0.008968761
gyroY_p75,0.008609195
gyroY_iqr,0.00858517
accelX_smoothness,0.008327875
gyroY_p25,0.0082439035
gyroZ_p75,0.0074826283
gyroZ_peak_position,0.007413745
accelX_energy,0.007313672
accelZ_p25,0.0072175064
filteredY_range,0.0064860107
filteredZ_p75,0.0064571234
filteredMag_peak_position,0.006419295
filteredZ_median,0.0061929463
gyroX_peak_position,0.006063431
accelZ_median,0.005697846
filteredZ_max,0.0056048264
accelY_peak_position,0.005434586
accelY_max,0.0050659254
accelY_smoothness,0.0049420907
gyroY_kurtosis,0.004522574
accelX_iqr,0.0025088908
