feature,importance
filteredMag_max,0.07969551
filteredMag_iqr,0.061432842
accelZ_kurtosis,0.05592533
filteredMag_p75,0.05442638
accelZ_iqr,0.052136246
ldlj,0.04536251
gyroX_rms,0.043493364
accelY_skew,0.041738488
filteredMag_kurtosis,0.037975725
avg_sample_rate,0.034680624
filteredMag_peak_position,0.02827291
accelMag_peak_position,0.027567875
filteredMag_range,0.025203934
filteredZ_range,0.022553928
gyroX_kurtosis,0.020880617
accelMag_iqr,0.017999094
accelX_p25,0.014787141
filteredZ_skew,0.01447569
accelY_kurtosis,0.013324086
accelZ_p75,0.013090358
accelZ_diff_std,0.012771492
accelMag_p75,0.012572298
gyroZ_p25,0.011542825
accelMag_skew,0.011163578
gyroX_iqr,0.011046523
gyroX_diff_std,0.010935718
accelMag_p25,0.010751031
accelY_range,0.01058746
filteredMag_skew,0.010520808
filteredY_range,0.0104304515
accelMag_median,0.010427347
accelY_rms,0.009938467
accelZ_skew,0.009907939
filteredMag_mean,0.009688687
accelX_p75,0.009439622
rep_duration_ms,0.009407078
accelX_energy,0.009129025
gyroY_diff_std,0.008830245
accelX_min,0.0083237225
accelMag_rms,0.0080488
accelMag_kurtosis,0.007347809
filteredZ_kurtosis,0.0073257405
accelZ_range,0.00683397
filteredMag_p25,0.0067372094
accelY_peak_position,0.0067031444
filteredZ_iqr,0.006151019
gyroY_kurtosis,0.0056555695
accelY_iqr,0.0053754156
gyroX_p25,0.0053275903
gyroX_peak_position,0.0051854416
accelZ_max,0.005095022
filteredY_jerk_rms,0.004994094
accelZ_peak_position,0.0042930655
gyroZ_energy,0.00328195
gyroX_median,0.0026415628
filteredY_jerk_mean,0.002419662
gyroX_range,0.002319851
gyroY_peak_position,0.001826121
accelZ_min,0.0
gyroX_jerk_max,0.0
