feature,importance
accelMag_min,0.094237246
accelZ_peak_position,0.06735586
accelZ_smoothness,0.04247984
filteredZ_kurtosis,0.038567767
filteredZ_skew,0.02970895
filteredZ_min,0.027540194
accelZ_range,0.025063954
accelMag_skew,0.024938768
gyroZ_energy,0.023991076
accelZ_min,0.02397799
gyroX_range,0.021852963
accelZ_p75,0.019334061
gyroY_range,0.019049278
accelY_mean,0.018732158
gyroZ_kurtosis,0.018118508
gyroY_energy,0.017955717
filteredZ_p75,0.01757454
filteredX_energy,0.01728699
gyroX_peak_position,0.016658362
filteredY_energy,0.016252495
gyroZ_peak_position,0.016045738
filteredY_rms,0.015759148
accelX_energy,0.015343196
filteredZ_max,0.015117905
accelX_p75,0.014776756
accelY_peak_position,0.014672603
gyroX_max,0.014133103
filteredZ_iqr,0.014000282
accelX_smoothness,0.013669081
accelY_max,0.013153499
accelY_iqr,0.01253996
accelY_range,0.012373912
accelY_min,0.012358619
filteredMag_peak_position,0.012287754
accelX_range,0.012112998
accelZ_median,0.011975042
accelX_peak_position,0.011655974
accelY_rms,0.011457949
accelMag_kurtosis,0.0112063745
accelX_rms,0.010598376
ldlj,0.010160384
gyroY_kurtosis,0.009943667
gyroX_min,0.0099252025
gyroX_skew,0.009794681
gyroZ_range,0.008797694
rep_duration_ms,0.00860046
gyroY_max,0.008506019
gyroY_peak_position,0.008363597
gyroZ_max,0.008342693
accelX_iqr,0.008291387
accelY_energy,0.008089219
gyroY_min,0.007950834
gyroX_kurtosis,0.0070890193
gyroZ_jerk_mean,0.006886449
gyroX_mean,0.006877116
gyroZ_mean,0.006769855
filteredZ_p25,0.0064033247
filteredY_peak_position,0.005904355
avg_sample_rate,0.0046855356
accelY_smoothness,0.0027034618
